"DateTime";"Fatigue court terme Coggan";"Condition physique Coggan";"Forme Coggan";"Charge Coggan"
"2022-10-08 00:00:00";8,767617260997444;45;36;
"2022-10-09 00:00:00";7,517389401277941;44;36;
"2022-10-10 00:00:00";22,77507837633059;45;36;114,51674650296265
"2022-10-11 00:00:00";19,527441459052067;44;23;
"2022-10-12 00:00:00";16,742904838167327;43;25;
"2022-10-13 00:00:00";14,35543222637498;42;27;
"2022-10-14 00:00:00";12,308403852136006;41;28;
"2022-10-15 00:00:00";40,91930413022229;45;29;212,9513675972454
"2022-10-16 00:00:00";35,084371730570616;44;4;
"2022-10-17 00:00:00";47,97283121126142;46;9;125,46875961001162
"2022-10-18 00:00:00";41,13209349375788;45;-2;
"2022-10-19 00:00:00";35,26681816482169;44;4;
"2022-10-20 00:00:00";30,23790811083676;43;9;
"2022-10-21 00:00:00";25,926100921444732;42;13;
"2022-10-22 00:00:00";22,22914053859584;41;16;
"2022-10-23 00:00:00";19,059352217360313;40;19;
"2022-10-24 00:00:00";16,341563287823977;39;21;
"2022-10-25 00:00:00";14,011320408188663;38;23;
"2022-10-26 00:00:00";12,013361030593632;37;24;
"2022-10-27 00:00:00";10,300302829920298;36;25;
"2022-10-28 00:00:00";8,831520014913048;35;26;
"2022-10-29 00:00:00";7,572179872930326;35;27;
"2022-10-30 00:00:00";24,691894369979366;37;27;127,62957833895965
"2022-10-31 00:00:00";46,82353183664493;40;12;179,89698371298076
"2022-11-01 00:00:00";40,14667970567306;39;-7;
"2022-11-02 00:00:00";46,14505677996874;40;-1;82,21219117681038
"2022-11-03 00:00:00";39,564952533026286;39;-6;
"2022-11-04 00:00:00";33,923145363213564;38;0;
"2022-11-05 00:00:00";29,08583778466866;37;4;
"2022-11-06 00:00:00";24,938311308639754;37;8;
"2022-11-07 00:00:00";35,45126945646311;38;12;98,6637467198132
"2022-11-08 00:00:00";30,396057371184316;37;3;
"2022-11-09 00:00:00";34,15600680584678;38;7;56,763888888888886
"2022-11-10 00:00:00";29,28549409820373;37;3;
"2022-11-11 00:00:00";25,10949741434985;36;7;
"2022-11-12 00:00:00";21,528981491212527;35;11;
"2022-11-13 00:00:00";49,946448887762344;39;13;220,81543613454582
"2022-11-14 00:00:00";54,35877280645147;40;-11;80,88926227162828
"2022-11-15 00:00:00";46,60742484500351;39;-14;
"2022-11-16 00:00:00";47,3692551236968;40;-7;51,949999999999996
"2022-11-17 00:00:00";40,61458499076845;39;-8;
"2022-11-18 00:00:00";34,8231043461597;38;-2;
"2022-11-19 00:00:00";29,857466143730324;37;3;
"2022-11-20 00:00:00";49,683978048877165;40;7;168,89713531566593
"2022-11-21 00:00:00";57,62534970085065;42;-10;105,375351929683
"2022-11-22 00:00:00";49,40820067650031;41;-16;
"2022-11-23 00:00:00";48,562941713645856;41;-9;43,480555555555554
"2022-11-24 00:00:00";41,63805655124003;40;-8;
"2022-11-25 00:00:00";35,700632873257284;39;-2;
"2022-11-26 00:00:00";30,60986254203888;38;3;
"2022-11-27 00:00:00";54,31628642470292;42;7;196,85863840662387
"2022-11-28 00:00:00";46,570996854781356;41;-13;
"2022-11-29 00:00:00";39,930155222498115;40;-6;
"2022-11-30 00:00:00";42,58606431405992;40;0;58,55555555555556
"2022-12-01 00:00:00";36,51345844449358;39;-2;
"2022-12-02 00:00:00";31,3067823724107;38;3;
"2022-12-03 00:00:00";26,84255790240795;37;7;
"2022-12-04 00:00:00";23,014914345815647;36;11;
"2022-12-05 00:00:00";39,601876655175104;39;13;139,3362200345897
"2022-12-06 00:00:00";33,95480425025552;38;-1;
"2022-12-07 00:00:00";36,416278178827426;38;4;51,21666666666667
"2022-12-08 00:00:00";31,22345963176349;37;2;
"2022-12-09 00:00:00";26,771116658021842;37;6;
"2022-12-10 00:00:00";52,716953173498624;41;10;208,72448005143517
"2022-12-11 00:00:00";45,19972225715518;40;-12;
"2022-12-12 00:00:00";53,15806524553021;41;-6;101,01011298822523
"2022-12-13 00:00:00";53,15097366975828;41;-12;53,108333333333334
"2022-12-14 00:00:00";53,144893324898405;42;-12;53,108333333333334
"2022-12-15 00:00:00";45,56663982013146;41;-11;
"2022-12-16 00:00:00";39,06901556475294;40;-5;
"2022-12-17 00:00:00";33,49792706295945;39;1;
"2022-12-18 00:00:00";58,04011936907493;43;5;205,6077926470564
"2022-12-19 00:00:00";49,76382581558468;42;-15;
"2022-12-20 00:00:00";42,66769928669984;41;-8;
"2022-12-21 00:00:00";36,58345258997561;40;-2;
"2022-12-22 00:00:00";60,95483177178836;44;3;207,49543725548745
"2022-12-23 00:00:00";63,62722036738114;45;-17;79,6957998254588
"2022-12-24 00:00:00";54,55422810827764;44;-19;
"2022-12-25 00:00:00";46,77500898680995;43;-11;
